"","x"
"1","Acer platanoides"
"2","Ailanthus altissima"
"3","Alliaria petiolata"
"4","Arctium minus"
"5","Berberis thunbergii"
"6","Bromus inermis"
"7","Campanula rapunculoides"
"8","Celastrus orbiculatus"
"9","Cirsium arvense"
"10","Cirsium vulgare"
"11","Conium maculatum"
"12","Convallaria majalis"
"13","Convolvulus arvensis"
"14","Dactylis glomerata"
"15","Daucus carota"
"16","Dipsacus fullonum"
"17","Egeria densa"
"18","Eichhornia crassipes"
"19","Elaeagnus angustifolia"
"20","Elymus repens"
"21","Epipactis helleborine"
"22","Euphorbia esula"
"23","Glechoma hederacea"
"24","Gypsophila paniculata"
"25","Hemerocallis fulva"
"26","Hesperis matronalis"
"27","Hydrilla verticillata"
"28","Hypericum perforatum"
"29","Iris pseudacorus"
"30","Leonurus cardiaca"
"31","Linaria vulgaris"
"32","Lonicera japonica"
"33","Lotus corniculatus"
"34","Lythrum salicaria"
"35","Malus pumila"
"36","Melilotus officinalis"
"37","Morus alba"
"38","Myosotis scorpioides"
"39","Myriophyllum aquaticum"
"40","Myriophyllum spicatum"
"41","Nasturtium officinale"
"42","Ornithogalum umbellatum"
"43","Pastinaca sativa"
"44","Phalaris arundinacea"
"45","Phragmites australis"
"46","Poa compressa"
"47","Poa nemoralis"
"48","Poa pratensis"
"49","Populus alba"
"50","Portulaca oleracea"
"51","Potamogeton crispus"
"52","Pueraria montana"
"53","Robinia pseudoacacia"
"54","Rosa multiflora"
"55","Rumex acetosella"
"56","Salvinia molesta"
"57","Saponaria officinalis"
"58","Securigera varia"
"59","Setaria faberi"
"60","Solanum dulcamara"
"61","Sonchus arvensis"
"62","Sorghum halepense"
"63","Tanacetum vulgare"
"64","Trapa natans"
"65","Trifolium pratense"
"66","Trifolium repens"
"67","Typha angustifolia"
"68","Ulmus pumila"
"69","Verbascum thapsus"
"70","Verbena bonariensis"
"71","Viburnum opulus"
